fighter_id,name,weight_class,activity_recency_days,win_streak,last_5_win_pct,sig_str_diff_per_min,td_rate,td_attempts_per_15,control_per_15,finish_rate,opponent_recent_win_pct_avg
102a8fdf8cbf7467,Kleydson Rodrigues,,,0,,,,,,,
51c655162e462ceb,Shannon Ross,,,0,,,,,,,
af9f42e6894047fc,Jamie Mullarkey,,,0,,,,,,,
3920d0cc288f9b0d,Francisco Prado,,,0,,,,,,,
a9da3158dd2c2b5a,Jack Jenkins,,,0,,,,,,,
da4628f173337902,Don Shainis,,,0,,,,,,,
4e30e4250cb08b61,Loma Lookboonmee,,,0,,,,,,,
ac7c765882f2c68c,Elise Reed,,,0,,,,,,,
5095b0920a3602aa,Blake Bilder,,,0,,,,,,,
4cd8b03aee1d0138,Shane Young,,,0,,,,,,,
48a9a128784d53d1,Elves Brener,,,0,,,,,,,
aceffa19749c4dc0,Zubaira Tukhugov,,,0,,,,,,,
d28dee5c705991df,Stipe Miocic,,,0,,,,,,,
8d03ce87ca14e778,Francis Ngannou,,,0,,,,,,,
d967f0128c323de6,Daniel Cormier,,,0,,,,,,,
0845c81e37d3bcb3,Volkan Oezdemir,,,0,,,,,,,
751de04455cfaac0,Calvin Kattar,,,0,,,,,,,
98d961097baaf308,Shane Burgos,,,0,,,,,,,
fcd448a2fe1a23cc,Gian Villante,,,0,,,,,,,
b69f24c500d783e7,Francimar Barroso,,,0,,,,,,,
05339613bf8e9808,Rob Font,,,0,,,,,,,
2b074403b7c6cdb4,Thomas Almeida,,,0,,,,,,,
c5af5750e8bae4f0,Kyle Bochniak,,,0,,,,,,,
cc351e408bbb7d43,Brandon Davis,,,0,,,,,,,
eae431e70064e046,Abdul Razak Alhassan,,,0,,,,,,,
71f048adbfed5b49,Sabah Homasi,,,0,,,,,,,
f53c1f4ceeed8c08,Dustin Ortiz,,,0,,,,,,,
a0f0004aadf10b71,Alexandre Pantoja,,,0,,,,,,,
1291edf2d566a71a,Julio Arce,,,0,,,,,,,
82a5152216251682,Dan Ige,,,0,,,,,,,
be0b310a12eb80b4,Enrique Barzola,,,0,,,,,,,
0b8d512c79b4baf3,Matt Bessette,,,0,,,,,,,
75e5fec9f72910ef,Gleison Tibau,,,0,,,,,,,
b1b0729d27936f2f,Belal Muhammad,,,0,,,,,,,
f1fac969a1d70b08,Leon Edwards,,,0,,,,,,,
399afbabc02376b5,Tom Aspinall,,,0,,,,,,,
fa6796c55d6c5440,Curtis Blaydes,,,0,,,,,,,
887961364be5ceb3,King Green,,,0,,,,,,,
d1c65d2cf2925ddd,Gregory Rodrigues,,,0,,,,,,,
a93f94c923c3a9cb,Christian Leroy Duncan,,,0,,,,,,,
9560ff14eb3129f7,Giga Chikadze,,,0,,,,,,,
361d49960a196976,Daniel Pineda,,,0,,,,,,,
7138a15258dabf20,Bruna Brasil,,,0,,,,,,,
51018a31ddf31eb2,Molly McCann,,,0,,,,,,,
60a42bf82447c919,Jake Hadley,,,0,,,,,,,
42ac4020cba261ad,Caolan Loughran,,,0,,,,,,,
75353550928a7921,Muhammad Mokaev,,,0,,,,,,,
5d1b7e3dd9e11074,Manel Kape,,,0,,,,,,,
6b56e94a59b7b134,Oban Elliott,,,0,,,,,,,
6370c1c1e12723d5,Marcin Prachnio,,,0,,,,,,,
8b6e5dc2ba1edbe7,Sam Patterson,,,0,,,,,,,
4729c93ba705a3bf,Kiefer Crosbie,,,0,,,,,,,
0d5cc0170c1a7e71,Mick Parkin,,,0,,,,,,,
0c25d0a5e8cdbf19,Lukasz Brzeski,,,0,,,,,,,
9c442aaf149ea982,Shauna Bannon,,,0,,,,,,,
87f8699fdcc2c404,Alice Ardelean,,,0,,,,,,,
ad3f53c454cbbead,Josh Barnett,,,0,,,,,,,
0aa92558424ced9e,Randy Couture,,,0,,,,,,,
b44f39a5c6596953,Pedro Rizzo,,,0,,,,,,,
621a6c59f88a44fe,Matt Hughes,,,0,,,,,,,
85e26e2468b4e82f,Hayato Sakurai,,,0,,,,,,,
0e041d43a47d2e4b,Matt Lindland,,,0,,,,,,,
cedfdf8d423d500c,Pat Miletich,,,0,,,,,,,
8f2d9ee27f206f1f,Evan Tanner,,,0,,,,,,,
817e0bdf08efce2e,Elvis Sinosic,,,0,,,,,,,
1ff9589f9065a9ed,Frank Mir,,,0,,,,,,,
6291ac0a3726732f,Pete Williams,,,0,,,,,,,
86dfed7cc24a9fa7,Matt Serra,,,0,,,,,,,
1a225f04aa6e0739,Kelly Dullanty,,,0,,,,,,,
029880cdbf5ca089,Sean Sherk,,,0,,,,,,,
95eb112a85601a0a,Jutaro Nakao,,,0,,,,,,,
0ee783aa00e468f0,Vitor Belfort,,,0,,,,,,,
00e11b5c8b7bfeeb,Luke Rockhold,,,0,,,,,,,
7a703c565ccaa18f,Jacare Souza,,,0,,,,,,,
6c2030e0a143a94b,Chris Camozzi,,,0,,,,,,,
6a2f7c151031653d,Rafael Dos Anjos,,,0,,,,,,,
e5c9de15bb58b1c6,Evan Dunham,,,0,,,,,,,
0dba4df5f34d5ff0,Rafael Natal,,,0,,,,,,,
be4076c9e8d791e3,Joao Zeferino,,,0,,,,,,,
6fb1ba67bef41b37,Nik Lentz,,,0,,,,,,,
ed209f6618c82e41,Hacran Dias,,,0,,,,,,,
a8283a4f415e1eb9,Francisco Trinaldo,,,0,,,,,,,
af90b10c785ced3e,Mike Rio,,,0,,,,,,,
03c9994c5b8958ec,John Cholish,,,0,,,,,,,
30a09e43f15f1d75,Paulo Thiago,,,0,,,,,,,
e51fcd9cd84c0b93,Michel Prazeres,,,0,,,,,,,
2f95a3c6d58b2aad,Iuri Alcantara,,,0,,,,,,,
14aa21bc82cac57d,Iliarde Santos,,,0,,,,,,,
1fb80f46d3c105d9,Fabio Maldonado,,,0,,,,,,,
27d65e9d0fba61ea,Roger Hollett,,,0,,,,,,,
c268b2cfebccf652,John Lineker,,,0,,,,,,,
a1b0715c4fd2dbd3,Azamat Gashimov,,,0,,,,,,,
b102c26727306ab6,Jussier Formiga,,,0,,,,,,,
b2e3aca4cd363477,Chris Cariaso,,,0,,,,,,,
7413b80dbb0f8f9f,Lucas Martins,,,0,,,,,,,
c3bd649a9194e50c,Jeremy Larsen,,,0,,,,,,,
cbd5d3cdd862e90e,Rory MacDonald,,,0,,,,,,,
0749d968e932df53,Tarec Saffiedine,,,0,,,,,,,
2f13e4020cea5b38,Raphael Assuncao,,,0,,,,,,,
5ef0088c1b19beeb,Bryan Caraway,,,0,,,,,,,
c03a5022f8439f2a,Chad Laprise,,,0,,,,,,,
3e61082025db8137,Yosdenis Cedeno,,,0,,,,,,,
34f88592c0ab7a54,Elias Theodorou,,,0,,,,,,,
da1d8d76404bb6b5,Bruno Santos,,,0,,,,,,,
49858bf46dabf6fb,Nordine Taleb,,,0,,,,,,,
e64b96c07d7ce999,Li Jingliang,,,0,,,,,,,
b8592b4a383696cd,Mitch Gagnon,,,0,,,,,,,
72c4b253d2f5ebf2,Roman Salazar,,,0,,,,,,,
5f99b2bafb10305f,Daron Cruickshank,,,0,,,,,,,
6bf5a7d3e081ade2,Anthony Njokuani,,,0,,,,,,,
55ee431411ccf07a,Olivier Aubin-Mercier,,,0,,,,,,,
33e00249ef08d3a4,Jake Lindsey,,,0,,,,,,,
e5010b1b94ca5755,Paul Felder,,,0,,,,,,,
4ac1ecf8ce59ef23,Jason Saggo,,,0,,,,,,,
56c9acc4e86046a2,Chris Kelades,,,0,,,,,,,
6e7c758f5cdec01a,Paddy Holohan,,,0,,,,,,,
ff6a1f63c254127e,Albert Tumenov,,,0,,,,,,,
8f0d576beba1cfcd,Matt Dwyer,,,0,,,,,,,
6bd02119599741a4,Pedro Munhoz,,,0,,,,,,,
12f1b140e248bdb9,Jerrod Sanders,,,0,,,,,,,
2a542ee8a8b83559,Tim Sylvia,,,0,,,,,,,
f57a8a52ca401ed9,Nick Diaz,,,0,,,,,,,
2f732dd9210d301f,Tito Ortiz,,,0,,,,,,,
fcffee71cff5530e,Forrest Griffin,,,0,,,,,,,
8c3f3c43c8ceb778,Justin Levens,,,0,,,,,,,
cbfd1d34356a004c,Jeff Monson,,,0,,,,,,,
6aa1cbc1466e9a0b,Marcio Cruz,,,0,,,,,,,
349aaa3da11eb587,Karo Parisyan,,,0,,,,,,,
7d3caf0f96f1b33d,Nick Thompson,,,0,,,,,,,
4123fd4dcc1fe937,David Terrell,,,0,,,,,,,
3410cf010558dc8b,Scott Smith,,,0,,,,,,,
5be86bb2f78fef2f,Jason Lambert,,,0,,,,,,,
6a92caba39b64752,Terry Martin,,,0,,,,,,,
31ee470ef5dc8d7f,Thiago Alves,,,0,,,,,,,
21321cdfba797c52,Derrick Noble,,,0,,,,,,,
c849740a3ff51931,TJ Dillashaw,,,0,,,,,,,
d8c7c61b176e3994,Cody Garbrandt,,,0,,,,,,,
056c493bbd76a918,Henry Cejudo,,,0,,,,,,,
8a304bfd6bf04a57,Demetrious Johnson,,,0,,,,,,,
b6452706b373eea1,Renato Moicano,,,0,,,,,,,
d247691a6c0e9034,Cub Swanson,,,0,,,,,,,
6fd953151d981979,JJ Aldrich,,,0,,,,,,,
9673a497a9da119a,Polyana Viana,,,0,,,,,,,
dea070ed4a2a8281,Thiago Santos,,,0,,,,,,,
3a46b268013afede,Kevin Holland,,,0,,,,,,,
ec52462a1b41f714,Brett Johns,,,0,,,,,,,
cc1a8b4b38b92c6d,Montel Jackson,,,0,,,,,,,
1ae8f3c723aacff4,Ricardo Ramos,,,0,,,,,,,
a7897d200692ab64,Kyung Ho Kang,,,0,,,,,,,
0d62719b1dcf7c40,Sheymon Moraes,,,0,,,,,,,
5b8ba8f5512893b1,Matt Sayles,,,0,,,,,,,
d2036f31c035e0d1,Jose Torres,,,0,,,,,,,
1ebe20ebbfa15e29,Zhang Weili,,,0,,,,,,,
b76c6268dc1d3c05,Danielle Taylor,,,0,,,,,,,
7c7332319c14094c,Marlon Vera,,,0,,,,,,,
2296125b6c362355,Wulijiburen,,,0,,,,,,,
dc9572dd6ec74859,Colby Covington,,,0,,,,,,,
f2925e6db404bf1d,Robbie Lawler,,,0,,,,,,,
c47df9303d318c67,Clay Guida,,,0,,,,,,,
ae7fe94f117f98cf,Joaquim Silva,,,0,,,,,,,
6ac9bc2953c47345,Gerald Meerschaert,,,0,,,,,,,
b27a1fcb56a3035a,Trevin Giles,,,0,,,,,,,
df1eb4354d18a906,Scott Holtzman,,,0,,,,,,,
98a6b2361045898f,Dong Hyun Ma,,,0,,,,,,,
025f0b1b58fbad01,Darko Stosic,,,0,,,,,,,
9e50097a89442158,Mickey Gall,,,0,,,,,,,
cbf1c7ba5408a66f,Salim Touahri,,,0,,,,,,,
d7338bcb141abd2c,Antonina Shevchenko,,,0,,,,,,,
3cf66c62d9069f43,Lucie Pudilova,,,0,,,,,,,
67c1d46f4ed16f9e,Matt Schnell,,,0,,,,,,,
215a70f073a7b726,Jordan Espinosa,,,0,,,,,,,
729d4bd5a6cd0a97,Lauren Murphy,,,0,,,,,,,
82cbb809d5ee565c,Mara Romero Borella,,,0,,,,,,,
6f7c616b98e18c29,Claudio Silva,,,0,,,,,,,
f9a20a17d712ef7c,Cole Williams,,,0,,,,,,,
7559395ad833c074,Miranda Granger,,,0,,,,,,,
26e3f3928b1891d9,Hannah Goldy,,,0,,,,,,,
634bb0de2eb043b4,Cristiane Justino,,,0,,,,,,,
634e2fb70bde3fd5,Holly Holm,,,0,,,,,,,
032cc3922d871c7f,Khabib Nurmagomedov,,,0,,,,,,,
64a50dad704d1d49,Edson Barboza,,,0,,,,,,,
193b9d1858bc4df3,Dan Hooker,,,0,,,,,,,
32c355b04fc57f3a,Marc Diakiese,,,0,,,,,,,
d910665038efc639,Carla Esparza,,,0,,,,,,,
98215d037be5bcb7,Cynthia Calvillo,,,0,,,,,,,
84b3e7d38f2d2ec5,Neil Magny,,,0,,,,,,,
f9f07bb5a43535ed,Carlos Condit,,,0,,,,,,,
749f572d1d3161fb,Khalil Rountree Jr.,,,0,,,,,,,
